event,event_latitude,event_longitude,event_document,event_importance,event_date,event_source_name
KILL,39.199,-81.4601,['https://www.wvnews.com/statejournal/theet/news/state-health-officer-seek-covid-19-testing-for-unusual-allergy-symptoms-body-aches-general-malaise/article_e0284c18-349a-5238-8d49-9cc3b3195df3.html'],['370'],[20201009040000],['wvnews.com']
KILL,39.3498,-75.5148,['https://www.natlawreview.com/article/are-antitrust-risk-allocation-provisions-merger-agreements-worthless'],['50000000'],[20201009021500],['natlawreview.com']
KILL,39.5501,-77.0164,['http://www.baltimoresun.com/coronavirus/cc-carroll-covid-cases-october-8-20201008-c2b5pb7vqrfhhdld4hl5x7tubm-story.html'],['2014'],[20201009014500],['baltimoresun.com']
KILL,39.828175,-98.5795,"['https://www.bozemandailychronicle.com/ap_news/politics/trump-says-hes-ready-for-rallies-doctor-says-therapy-done/article_76651c16-2381-58d0-b82e-a4c8ae5915e1.html', 'http://www.xinhuanet.com/english/2020-10/09/c_139426821.htm', 'https://www.globalcitizen.org/fr/content/covid-19-health-services-latin-america-caribbean/', 'https://www.bangladeshsun.com/news/266635600/president-trump-is-a-clear-and-present-danger', 'https://www.cnsnews.com/article/international/patrick-goodenough/isis-pair-go-trial-doj-warns-terrorists-you-will-be', 'https://www.expressnews.com/news/article/Coronavirus-found-in-deceased-cat-in-Opelika-15632377.php', 'https://www.mid-day.com/articles/us-could-have-enough-covid-vaccine-doses-for-every-american-by-march/23033220', 'https://www.nbcmiami.com/news/local/how-a-new-brickell-beauty-salon-is-adapting-to-the-coronavirus-pandemic/2304659/', 'https://www.eriereader.com/article/11-reminders-from-the-erie-county-public-health-department-on-covid19', 'https://www.pressdemocrat.com/article/news/protests-follow-clearing-of-wisconsin-officer-in-killing-of-black-teen/', 'https://www.standard-journal.com/opinion/article_a60d6058-f93f-59d0-86aa-cd39d5f0f576.html', 'http://econintersect.com/pages/analysis/analysis.php?post=202010082311', 'https://www.citywatchla.com/index.php/cw/important-reads/20536-the-wreckage-of-trump-s-presidency', 'http://www.uniindia.com/~/us-economic-loss-escalates-as-record-wildfires-raged-in-september-according-to-aon-catastrophe-report/Business%20Economy/news/2193360.html', 'https://www.iol.co.za/news/world/listen-i-may-hold-a-campaign-rally-on-saturday-says-donald-trump--bcc8336c-1b1d-47b9-a007-b5446564d594', 'https://www.urbanacitizen.com/news/77999/test-smoke-alarms-practice-escape-plans', 'https://www.ctvnews.ca/canada/crackdown-podcast-gives-drug-users-a-voice-in-confronting-opioid-crisis-1.5138890', 'http://dagblog.com/comment/reply/32673', 'https://www.news-medical.net/news/20201008/Certain-pre-existing-conditions-may-highly-increase-a-patients-risk-of-dying-from-COVID-19.aspx', 'https://www.independent.co.uk/news/world/americas/us-election/anderson-cooper-trump-coronavirus-hiv-hypocrisy-b892638.html', 'https://www.rollingstone.com/product-recommendations/lifestyle/grateful-dead-towels-slowtide-1073022/', 'https://www.kcbx.org/post/rare-step-esteemed-medical-journal-urges-voters-oust-trump', 'https://www.aljazeera.com/news/2020/10/9/mcconnell-says-he-avoids-white-house-cites-lax-covid-19-approach', 'https://www.limaohio.com/opinion/430781/mark-figley-biden-sews-the-democrat-staple-of-fear', 'https://www.urbanacitizen.com/news/78002/students-learning-sharing-history-of-local-educator', 'https://www.thenews.com.pk/print/726799-zalmay-meets-coas-us-troops-in-afghanistan-should-be-home-by-christmas-says-trump', 'https://www.nj.com/union/2020/10/4-who-died-in-blaze-tried-to-escape-down-staircases-out-window-but-couldnt-mayor-says.html', 'https://news.yahoo.com/ascentage-pharmas-apoptosis-targeting-drug-001000154.html', 'https://www.dailymail.co.uk/tvshowbiz/article-8821559/Sarah-Michelle-Gellar-Whoopi-Goldberg-Drew-Barrymore-Joe-Jonas-urge-voting.html', 'https://www.wvgazettemail.com/dailymailwv/daily_mail_features/navigating-treatment-breast-cancer-patients-advice-for-women-is-listen-to-your-body/article_475b5294-4b8e-5ff1-8e50-b5827b0a7621.html', 'https://starexponent.com/entertainment/kenmore-makes-night-in-washingtons-day-an-outdoors-affair/article_20b5b091-3a20-5df1-a533-65d730a9d5e2.html', 'https://coinweek.com/us-coins/pcgs-grades-1st-new-1795-flowing-hair-half-dollar-variety-discovered-in-nearly-a-century/', 'https://www.washingtonpost.com/outlook/2020/10/08/white-supremacists-gretchen-whitmer/', 'https://sputniknews.com/analysis/202010081080712915-made-public-sector-the-fall-guy-us-free-market-fetishism-drives-failure-to-combat-covid-19/', 'https://www.thetimes.co.uk/edition/scotland/coronavirus-in-scotland-academic-sorry-for-covid-sceptic-misinformation-6v5jw9tfq']","['210', '19', '1', '2000000', '4', '10', '212', '90', '52', '17', '200', '2', '7000000', '43', '6000000', '7', '018', '51', '5', '2014', '9', '2000', '211', '6', '15', '24', '3', '180', '709', '20', '18', '33', '168', '25', '70']","[20201009054500, 20201009054500, 20201009054500, 20201009054500, 20201009054500, 20201009054500, 20201009054500, 20201009054500, 20201009054500, 20201009054500, 20201009053000, 20201009053000, 20201009053000, 20201009053000, 20201009053000, 20201009050000, 20201009050000, 20201009050000, 20201009040000, 20201009023000, 20201009023000, 20201009023000, 20201009021500, 20201009021500, 20201009021500, 20201009014500, 20201009014500, 20201009004500, 20201009004500, 20201009004500, 20201009001500, 20201009001500, 20201009001500, 20201009000000, 20201009000000]","['bozemandailychronicle.com', 'xinhuanet.com', 'globalcitizen.org', 'bangladeshsun.com', 'cnsnews.com', 'expressnews.com', 'mid-day.com', 'nbcmiami.com', 'eriereader.com', 'pressdemocrat.com', 'standard-journal.com', 'econintersect.com', 'citywatchla.com', 'uniindia.com', 'iol.co.za', 'urbanacitizen.com', 'ctvnews.ca', 'dagblog.com', 'news-medical.net', 'independent.co.uk', 'rollingstone.com', 'kcbx.org', 'aljazeera.com', 'limaohio.com', 'urbanacitizen.com', 'thenews.com.pk', 'nj.com', 'yahoo.com', 'dailymail.co.uk', 'wvgazettemail.com', 'starexponent.com', 'coinweek.com', 'washingtonpost.com', 'sputniknews.com', 'thetimes.co.uk']"
KILL,39.8647,-86.2604,['http://www.chicagotribune.com/columns/rex-huppke/ct-michigan-gretchen-whitmer-kidnap-militia-trump-liberate-huppke-20201008-cimy2txutva7rjmthsibxabp2m-story.html'],['168'],[20201009000000],['chicagotribune.com']
KILL,39.9044,116.391,['https://www.abc.net.au/news/science/2020-10-09/anti-beijing-group-with-links-to-steve-bannon-misinformation/12735638'],['2014'],[20201009050000],['abc.net.au']
KILL,39.9289,116.388,"['https://www.indiatoday.in/coronavirus-outbreak/story/coronavirus-vaccine-update-china-joins-covax-moderna-vaccine-patent-astrazeneca-in-india-1729850-2020-10-09', 'https://www.beijingbulletin.com/news/266632980/china-sees-fewer-deadly-traffic-accidents-during-national-day-holiday']","['1000000', '5']","[20201009053000, 20201009000000]","['indiatoday.in', 'beijingbulletin.com']"
KILL,39.9523,-75.1638,"['http://www.morning-times.com/state_news/article_b53f09c0-3bc3-5dd3-ae1a-7fa593fe3a25.html', 'https://6abc.com/iseir-george-shooting-albany-state-university-georgia-essay-is-vision/6867818/']","['2', '14']","[20201009053000, 20201009001500]","['morning-times.com', '6abc.com']"
KILL,39.9612,-82.9988,['https://www.10tv.com/article/news/local/fatal-crash-i70-west-broad/530-18ad1c85-94a6-4cf1-9490-c5fafda36257'],['8'],[20201009040000],['10tv.com']
KILL,40.0,-4.0,"['http://www.fairfaxtimes.com/articles/tom-wolfes-the-right-stuff-comes-to-tv/article_775293d0-098b-11eb-8013-23dd50aa216a.html', 'https://fr.reuters.com/article/us-health-coronavirus-spain-tracers-idUSKBN26T23R', 'https://www.dailymail.co.uk/health/article-8821083/Brace-TWO-YEARS-mask-wearing-warns-Spanish-virologist.html']","['9', '562', '196']","[20201009054500, 20201009050000, 20201009001500]","['fairfaxtimes.com', 'reuters.com', 'dailymail.co.uk']"
KILL,40.0,45.0,"['http://www.digitaljournal.com/news/world/karabakh-fighting-turns-residents-into-vagabond-refugees/article/579263', 'https://www.kenyastar.com/news/266635584/casualties-accusations-mount-in-nagorno-karabakh-conflict', 'https://www.smh.com.au/world/asia/world-powers-to-meet-on-nagorno-karabakh-amid-fears-of-regional-war-20201008-p56397.html', 'https://cnsnews.com/index.php/article/international/dimitri-simes/caucasus-flareup-russia-leery-turkish-backed-syrian-rebels']","['200', '2', '360', '30']","[20201009054500, 20201009053000, 20201009023000, 20201009001500]","['digitaljournal.com', 'kenyastar.com', 'smh.com.au', 'cnsnews.com']"
KILL,40.0,127.0,"['https://www.gwinnettdailypost.com/news/world_nation/october-10-was-supposed-to-be-a-major-celebration-for-kim-jong-un-instead-he/article_a9fbdd9c-9216-56ed-80da-7a0c8fa5bbd0.html', 'https://www.express.co.uk/news/world/1345599/North-Korea-news-Kim-Jong-un-Koreans-Pyongyang-opposition-persecution']","['200000', '5']","[20201009053000, 20201009040000]","['gwinnettdailypost.com', 'express.co.uk']"
KILL,40.0626,70.8194,['https://akipress.com/news:649350:_b_Kyrgyzstan_reports_4_new_coronavirus-linked_deaths_/b_/'],['4'],[20201009054500],['akipress.com']
KILL,40.1135,-111.854,"['https://www.fox13now.com/news/coronavirus/local-coronavirus-news/long-term-care-facilities-account-for-over-40-of-utahs-covid-19-deaths', 'https://www.prnewswire.com/news-releases/eyecare4kids-partners-with-1-800-contacts-to-launch-sight-the-world-a-virtual-vision-clinic-providing-care-to-underserved-children-and-adults-across-the-globe-301149110.html']","['5', '300']","[20201009023000, 20201009004500]","['fox13now.com', 'prnewswire.com']"
KILL,40.1254,-74.9999,['https://cumberlink.com/eedition/page-a1/page_a7cefa17-800c-59c0-ba1e-69bad0d12093.html'],['27'],[20201009050000],['cumberlink.com']
KILL,40.1652,-111.611,['https://www.heraldextra.com/news/local/central/provo/provo-municipal-council-points-to-possible-changes-in-urban-deer-contract/article_e3ad2ca2-2613-56f1-ae51-fd5597680b9e.html'],['66'],[20201009001500],['heraldextra.com']
KILL,40.1811,44.5136,"['https://www.cp24.com/world/armenia-accuses-azerbaijan-of-shelling-19th-century-cathedral-1.5138096', 'https://www.freemalaysiatoday.com/category/world/2020/10/09/azeris-and-ethnic-armenians-clash-as-russia-us-and-france-seek-ceasefire/']","['200', '400']","[20201009023000, 20201009004500]","['cp24.com', 'freemalaysiatoday.com']"
KILL,40.2504,-76.25,['https://www.eveningsun.com/story/news/2020/08/19/pennsylvania-militia-say-protect-black-lives-matter-protesters-experts-disagree/5609442002/'],['35'],[20201009004500],['eveningsun.com']
KILL,40.314,-74.5089,['https://www.trentonian.com/news/prosecutors-4-cops-legally-justified-in-2018-art-all-night-deadly-shooting/article_9234a8c0-09b6-11eb-89f1-bb24137a6d0b.html'],['32'],[20201009000000],['trentonian.com']
KILL,40.3363,-89.0022,"['https://www.timesunion.com/news/article/Teen-charged-in-Kenosha-shootings-due-back-in-15632892.php', 'https://www.expressnews.com/news/article/Illinois-tops-3K-new-COVID-19-cases-for-1st-time-15631855.php']","['2', '19']","[20201009054500, 20201009053000]","['timesunion.com', 'expressnews.com']"
KILL,40.3736,-82.7755,"['https://www.vanguardngr.com/2020/10/biden-to-attend-town-hall-on-night-scheduled-for-2nd-debate-with-trump/', 'https://www.vindy.com/news/local-news/2020/10/area-nursing-homes-see-spikes-in-covid-19-cases/', 'https://www.indeonline.com/story/news/coronavirus/2020/10/08/covid-19-ohio-new-cases-increase-1-539-well-above-21-day-average/5921751002/']","['212', '2', '983']","[20201009054500, 20201009050000, 20201009004500]","['vanguardngr.com', 'vindy.com', 'indeonline.com']"
KILL,40.4848,-78.0103,['https://www.abc23.com/newspost/doh-covid-19-update-39/'],['65'],[20201009014500],['abc23.com']
KILL,40.5,47.5,['https://www.goskagit.com/news/world/armenia-says-cathedral-shelled-in-clashes-with-azerbaijan/article_0e1c24d6-5f33-5df8-af37-030652e7b6af.html'],['200'],[20201009054500],['goskagit.com']
