event,event_importance,event_latitude,event_longitude,event_date,event_document,event_source_name
PROTEST,101,34.0983,-118.327,20201006000000.0,https://news.yahoo.com/hear-officials-gather-l-city-232422341.html,yahoo.com
AFFECT,12,35.6411,-79.8431,20201006000000.0,https://www.mdjonline.com/ap/politics/the-latest-trump-gives-thumbs-up-from-white-house-balcony/article_3e92fc96-f37c-51fe-830f-652d26146d61.html,mdjonline.com
KILL,235,35.75,51.5148,20201006000000.0,https://www.haaretz.com/middle-east-news/iran/nearly-all-of-iran-on-coronavirus-red-alert-as-cases-deaths-hit-records-1.9210505,haaretz.com
KILL,2,54,-4,20201006000000.0,https://www.gazette-news.co.uk/news/national/18772335.papers-say---october-6/,gazette-news.co.uk
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.harrowtimes.co.uk/news/national/18772319.donald-trump-leaves-hospital-treatment-covid-19/,harrowtimes.co.uk
KIDNAP,2,,,20201006000000.0,https://www.thecabin.net/news/jurors-hear-murder-suspects-statements-to-police-during-3rd-day-of-testimony/article_f1a83d4b-60fc-52c5-8f75-f5500669b14a.html,thecabin.net
ARREST,1,,,20201006000000.0,https://abc-7.com/news/crime/2020/10/05/walmart-employee-accused-of-taking-up-skirt-pictures-of-customers-in-north-port/,abc-7.com
AFFECT,3,26.7056,-80.0364,20201006000000.0,https://www.palmbeachpost.com/story/news/columns/2020/10/05/floridas-toll-roads-nowhere-can-stopped-thomas-peterffy/3626302001/,palmbeachpost.com
AFFECT,19,54,-4,20201006000000.0,https://1033wvyb.com/2020/10/05/regal-cinemas-suspending-operations/,1033wvyb.com
KILL,209,39.828175,-98.5795,20201006000000.0,https://lasvegassun.com/news/2020/oct/05/trump-court-nomination-hangs-over-senate-shuttered/,lasvegassun.com
KILL,31,36.17,-119.746,20201006000000.0,https://www.australiannews.net/news/266606383/epic-scale-of-california-wildfires-continues-to-grow,australiannews.net
AFFECT,24,60,-96,20201006000000.0,https://www.cbc.ca/news/politics/canadian-orphan-in-syrian-camp-set-free-on-her-way-to-canada-1.5750528,cbc.ca
ARREST,30,-25,135,20201006000000.0,https://www.northernstar.com.au/news/wannabe-gangsters-pair-charged-over-idiotic-drive-/4112881/,northernstar.com.au
AFFECT,12,35.6411,-79.8431,20201006000000.0,https://gazette.com/ap/politics/the-latest-trump-gives-thumbs-up-from-white-house-balcony/article_a86b96c4-3ec1-5c18-b73b-5303899a33da.html,gazette.com
AFFECT,25,37.4419,-122.143,20201006000000.0,https://mv-voice.com/news/2020/10/05/measure-s-would-extend-water-district-tax-indefinitely,mv-voice.com
KILL,209,39.828175,-98.5795,20201006000000.0,https://www.wmal.com/2020/10/05/trump-tweets-that-hes-leaving-hospital-monday/,wmal.com
KILL,151,27.8333,-81.717,20201006000000.0,https://www.dailymail.co.uk/sciencetech/article-8808203/Fossils-Ice-Age-manatees-Texas-suggest-inhabited-colder-waters.html,dailymail.co.uk
AFFECT,12,38.8951,-77.0364,20201006000000.0,http://www.therepublic.com/2020/10/05/trump-leaves-hospital-to-return-to-white-house/,therepublic.com
KILL,19,38.8964,-77.0262,20201006000000.0,https://www.news-medical.net/news/20201005/COVID-19-spread-rebounds-quickly-after-relaxation-of-social-distancing-measures.aspx,news-medical.net
KILL,8,51.0833,-114.083,20201006000000.0,https://www.cbc.ca/news/canada/edmonton/dr-deena-hinshaw-sounding-alarm-over-surging-covid-19-cases-in-edmonton-1.5750747,cbc.ca
KILL,209,39.828175,-98.5795,20201006000000.0,https://tdn.com/news/national/press-secretary-kayleigh-mcenany-tests-positive-for-virus-trump-optimistic-for-monday-release/article_6bb249d8-831f-5484-9bc0-b2dbecb0c5eb.html,tdn.com
AFFECT,100,,,20201006000000.0,https://wixx.com/2020/10/05/avril-lavigne-to-welcome-rob-thomas-as-a-guest-at-her-livestream-benefit-concert/,wixx.com
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.adn.com/nation-world/2020/10/05/trump-tweets-that-hell-return-to-the-white-house-on-monday/,adn.com
SEIZE,40,17.5314,78.265,20201006000000.0,https://timesofindia.indiatimes.com/city/hyderabad/rs-40l-cash-seized-from-bizman/articleshow/78502454.cms,indiatimes.com
KILL,47,16.166667,107.833333,20201006000000.0,http://www.china.org.cn/world/Off_the_Wire/2020-10/05/content_76779510.htm,china.org.cn
PROTEST,5,39.9289,116.388,20201006000000.0,https://chinadigitaltimes.net/2015/03/will-detentions-spark-a-feminist-awakening-in-china/,chinadigitaltimes.net
KILL,210,38.8951,-77.0364,20201006000000.0,https://lacrossetribune.com/news/national/govt-and-politics/trump-still-infectious-back-at-white-house----without-mask/article_2e09d523-7bb4-544c-88e4-daa7a1a8f600.html,lacrossetribune.com
KILL,41,24,90,20201006000000.0,https://www.thedailystar.net/law-our-rights/news/challenges-ensuring-justice-rape-victims-1973381,thedailystar.net
PROTEST,496000000000,39.828175,-98.5795,20201006000000.0,https://www.nbcnews.com/business/economy/trump-tweets-stock-market-gains-are-great-news-america-millions-n1242205,nbcnews.com
KILL,31,36.17,-119.746,20201006000000.0,https://www.stuff.co.nz/world/americas/300125093/epic-scale-of-california-wildfires-continues-to-grow,stuff.co.nz
AFFECT,317,54,-4,20201006000000.0,https://www.gazette-news.co.uk/news/national/18772104.flagship-immigration-legislation-suffers-heavy-defeats-lords/,gazette-news.co.uk
PROTEST,24,18.5392,-72.335,20201006000000.0,https://www.startribune.com/1-killed-as-haitian-college-students-protest-earlier-death/572644252/,startribune.com
KILL,1,,,20201006000000.0,http://www.therepublic.com/2020/10/05/formal-charges-filed-against-murder-suspect-in-waynesville-case/,therepublic.com
KILL,8,10,8,20201006000000.0,https://www.vanguardngr.com/2020/10/food-production-apex-agric-coop-moves-to-galvanise-potential-of-over-8m-members/,vanguardngr.com
KILL,3,43.6666,-95.767,20201006000000.0,https://www.kkoj.com/news/local-news/mn-covid-19-update-oct-5/,kkoj.com
AFFECT,32,38.8951,-77.0364,20201006000000.0,https://www.wjcw.com/news/most-americans-say-trump-acted-irresponsibly-and-distrust-white-house-on-his-health/,wjcw.com
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.surreycomet.co.uk/news/national/18772319.donald-trump-leaves-hospital-treatment-covid-19/,surreycomet.co.uk
KILL,2014,,,20201006000000.0,http://www.idahoreporter.com/2020/southwest-airlines-ceo-to-employeeswere-starting-again-were-knocked-down-but-not-out/,idahoreporter.com
ARREST,9,25,45,20201006000000.0,https://thehill.com/regulation/court-battles/519726-man-who-conspired-with-9-11-hijackers-sues-trump-and-us-officials,thehill.com
KILL,205,39.828175,-98.5795,20201006000000.0,https://lacrossetribune.com/news/national/govt-and-politics/pence-takes-lead-role-in-campaign-with-trump-travel-stopped/article_bffe67bb-695a-5399-ade2-e44aeb75e0d4.html,lacrossetribune.com
ARREST,2,,,20201006000000.0,http://www.communitynewspapergroup.com/oelwein_daily_register/police-arrest-2-men-on-gun-drug-and-burglary-charges/article_fa951934-bf2d-53fd-ad32-973f22e812d6.html,communitynewspapergroup.com
WOUND,48,18.6038,109.973,20201006000000.0,https://www.prnewswire.com:443/news-releases/rosen-a-top-ranked-law-firm-continues-to-investigate-securities-claims-against-huazhu-group-limited--htht-301146040.html,prnewswire.com
AFFECT,317,54,-4,20201006000000.0,https://www.basingstokegazette.co.uk/news/national/18772104.flagship-immigration-legislation-suffers-heavy-defeats-lords/,basingstokegazette.co.uk
KILL,40,-25,135,20201006000000.0,https://www.news.com.au/finance/economy/federal-budget/australian-federal-budget-2020-jobseeker-decision-pushed-back-until-later-this-year/news-story/81ff6f36b0282fe11dfbbff246dce0b5,news.com.au
PROTEST,24,18.5392,-72.335,20201006000000.0,https://mynorthwest.com/2210226/1-killed-as-haitian-college-students-protest-earlier-death/,mynorthwest.com
KILL,210,39.828175,-98.5795,20201006000000.0,https://www.irishtimes.com/news/world/us/trump-leaves-hospital-claiming-to-feel-better-than-20-years-ago-1.4372825,irishtimes.com
AFFECT,536,39.828175,-98.5795,20201006000000.0,https://arlington.wickedlocal.com/news/20201005/regal-will-close-all-us-theaters-after-new-bond-movie-no-time-to-die-delayed-to-2021/1,wickedlocal.com
KILL,3,,,20201006000000.0,https://patch.com/wisconsin/wauwatosa/da-announce-if-tosa-officer-will-face-charges-lawyer-says,patch.com
AFFECT,25,29.7633,-95.3633,20201006000000.0,https://www.reuters.com/article/storm-delta-energy/oil-firms-start-offshore-gulf-of-mexico-evacuations-as-storm-threatens-idUSL1N2GW11X,reuters.com
KILL,807,-37.8167,144.967,20201006000000.0,https://www.northernstar.com.au/news/victoria-records-15-covid-cases/4113342/,northernstar.com.au
KILL,2,,,20201006000000.0,https://www.ack.net/news/20201005/nantucket-board-of-health-considers-expanding-mask-order,ack.net
KILL,1,31.106,-97.6475,20201006000000.0,https://www.msn.com/en-us/health/medical/dallas-county-reports-400-more-coronavirus-cases-all-considered-new-plus-1-death/ar-BB19JqjT,msn.com
AFFECT,43,,,20201006000000.0,https://gazette.com/homeless/salvation-army-in-colorado-springs-provides-more-beds-for-homeless-vets-under-expanded-program/article_8d756f60-074d-11eb-84b0-5b72a920a7fa.html,gazette.com
KILL,176,35.75,51.5148,20201006000000.0,https://www.cbc.ca/news/politics/protests-across-canada-flight-ps752-families-seek-justice-1.5751442,cbc.ca
PROTEST,209,38.8951,-77.0364,20201006000000.0,https://www.kzyx.org/post/trump-leave-hospital-doctor-says-hes-not-entirely-out-woods-yet,kzyx.org
ARREST,21,,,20201006000000.0,https://www.inbrampton.com/firearms-seized-in-brampton-stolen-vehicle-investigation,inbrampton.com
KILL,19,21.1098,-157.531,20201006000000.0,https://www.civilbeat.org/2020/10/virus-tracker-oct-5-52-new-cases/,civilbeat.org
KILL,2,-10,-55,20201006000000.0,https://www.voanews.com/covid-19-pandemic/infodemic/infodemic-biden-claim-about-red-state-covid-cases-mostly-true,voanews.com
WOUND,714,44.2563,-89.6385,20201006000000.0,https://lacrossetribune.com/news/state-and-regional/govt-and-politics/judge-considering-striking-down-statewide-mask-mandate/article_26c00126-a6c5-5180-901a-109011796c9a.html,lacrossetribune.com
ARREST,2,,,20201006000000.0,https://www.heraldbulletin.com/news/mclemore-charged-with-assaulting-2-jail-officers/article_62f38754-0739-11eb-9862-a72ba729ffde.html,heraldbulletin.com
WOUND,5,32.9866,-83.6487,20201006000000.0,https://41nbc.com/2020/10/05/convenience-store-shooting-atlanta/,41nbc.com
KILL,210,38.8951,-77.0364,20201006000000.0,https://tdn.com/news/national/govt-and-politics/trump-still-infectious-back-at-white-house----without-mask/article_7693e65a-05ee-5f2d-89de-4926187bd615.html,tdn.com
KILL,4,39.8173,46.7557,20201006000000.0,https://www.hindustantimes.com/world-news/armenia-azerbaijan-clash-four-explosions-heard-outside-stepanakert-in-nagorno-karabakh/story-GTENsUiLwyZQ3BYnjjJAKM.html,hindustantimes.com
KILL,8,55.8333,-3.93333,20201006000000.0,https://www.thetimes.co.uk/edition/scotland/driver-hit-and-killed-on-m8-after-crashing-car-7sp5d0xgl,thetimes.co.uk
PROTEST,101,34.0983,-118.327,20201006000000.0,https://www.msn.com/en-us/news/world/we-hear-you-officials-gather-at-l-a-city-hall-in-solidarity-with-armenian-community/ar-BB19Jo47,msn.com
